step,gs0,gs1,gs2,
353,954,947,950,
354,954,947,950,
355,954,948,950,
356,954,948,950,
357,954,948,950,
358,954,948,950,
359,954,948,951,
360,954,948,951,
361,954,948,950,
362,954,948,950,
363,954,949,950,
364,954,949,950,
365,954,949,951,
366,954,949,951,
367,954,949,950,
368,954,949,950,
369,954,949,950,
370,954,949,950,
371,955,949,950,
372,955,949,950,
373,955,949,950,
374,955,949,950,
375,955,949,951,
376,955,949,951,
377,955,949,951,
378,955,949,951,
379,956,949,951,
380,956,949,951,
381,956,950,951,
382,956,950,951,
383,956,950,951,
384,956,950,951,
385,956,950,952,
386,956,950,952,
387,956,950,952,
388,956,950,952,
389,956,950,952,
390,956,950,952,
391,956,950,951,
392,956,951,952,
393,956,951,952,
394,957,951,952,
395,957,951,952,
396,957,952,952,
397,957,952,952,
398,956,950,952,
399,956,950,952,
400,957,952,952,
401,957,952,952,
402,957,952,952,
403,957,952,952,
404,957,952,952,
405,957,952,952,
406,957,952,952,
407,957,952,952,
408,953,949,952,
409,953,949,952,
410,937,942,949,
411,937,942,949,
412,565,675,888,
413,565,675,888,
414,489,444,660,
415,489,444,660,
416,492,425,542,
417,492,425,542,
418,495,429,548,
419,495,429,548,
420,502,420,541,
421,502,420,541,
422,474,444,543,
423,474,444,543,
424,490,439,547,
425,490,439,547,
426,473,425,547,
427,487,430,549,
428,487,430,549,
429,481,436,551,
430,481,436,551,
431,481,436,551,
432,490,450,564,
433,486,431,549,
434,486,431,549,
435,492,443,549,
436,492,443,549,
437,491,449,551,
438,491,449,551,
439,487,441,549,
440,487,441,549,
441,489,427,556,
442,489,427,556,
443,577,431,527,
444,577,431,527,
445,890,601,643,
446,890,601,643,
447,953,939,937,
448,953,939,937,
449,956,949,949,
450,956,949,949,
451,956,951,952,
452,956,951,952,
453,956,952,953,
454,956,952,953,
455,956,952,953,
456,956,952,953,
457,956,952,953,
458,956,952,953,
459,956,952,953,
460,956,952,953,
461,956,951,953,
462,956,951,953,
463,956,951,953,
464,956,951,953,
465,956,950,952,
466,956,950,952,
467,956,950,952,
468,956,950,952,
469,956,950,952,
470,956,950,953,
471,956,950,953,
472,956,950,952,
473,956,950,952,
474,956,950,953,
475,956,950,953,
476,956,950,952,
477,956,950,952,
478,955,950,952,
479,955,950,952,
480,955,950,952,
481,955,950,952,
482,955,950,952,
483,955,950,952,
484,955,950,952,
485,955,950,952,
486,956,951,952,
487,956,951,952,
488,956,951,952,
489,956,951,952,
490,956,951,952,
491,956,951,952,
492,955,950,952,
493,955,950,952,
494,955,950,952,
495,955,950,952,
496,955,950,952,
497,955,950,952,
498,956,950,952,
499,956,950,952,
500,956,950,952,
501,956,950,952,
502,956,950,952,
503,956,950,952,
504,955,950,952,
505,956,950,952,
506,956,950,952,
507,955,950,952,
508,955,950,952,
509,955,950,952,
510,955,950,952,
511,955,950,952,
512,955,950,952,
513,955,950,952,
514,955,950,952,
515,955,950,952,
516,955,950,952,
517,955,950,952,
518,955,950,952,
519,955,950,952,
520,955,950,952,
521,955,950,952,
522,955,950,952,
523,955,950,952,
524,955,950,952,
525,955,950,952,
526,955,950,952,
527,956,950,952,
528,956,950,952,
529,956,950,952,
530,956,950,952,
531,955,950,952,
532,955,950,952,
533,956,950,952,
534,956,950,952,
535,956,950,952,
536,956,950,952,
537,956,951,952,
538,956,951,952,
539,956,951,952,
540,956,951,952,
541,956,951,952,
542,956,951,952,
543,956,951,952,
544,956,951,952,
545,956,951,952,
546,956,952,952,
547,956,952,952,
548,956,952,952,
549,956,952,952,
550,957,952,952,
551,957,952,952,
552,956,952,952,
553,956,952,952,
554,956,952,952,
555,956,952,952,
556,956,952,952,
557,956,952,952,
558,956,952,952,
559,956,952,952,
560,957,952,952,
561,957,952,952,
562,956,952,952,
563,956,952,952,
564,957,952,952,
565,957,952,952,
566,956,952,952,
567,956,952,952,
568,956,952,952,
569,956,952,952,
570,956,951,952,
571,956,951,952,
572,957,952,952,
573,957,952,952,
574,957,952,952,
575,957,952,952,
576,957,951,952,
577,957,951,952,
578,956,951,952,
579,956,952,952,
580,956,952,952,
581,956,952,952,
582,956,952,952,
583,956,952,952,
584,956,952,952,
585,956,952,952,
586,956,952,952,
587,956,952,952,
588,956,952,952,
589,956,952,952,
590,956,952,952,
591,957,952,952,
592,957,952,952,
593,957,952,952,
594,957,952,952,
595,957,952,952,
596,957,952,952,
597,957,952,952,
598,957,952,952,
599,956,952,952,
600,956,952,952,
601,956,952,952,
602,956,952,952,
603,957,952,952,
604,957,952,952,
605,956,951,952,
606,956,951,952,
607,957,952,952,
608,957,952,952,
609,957,952,952,
610,957,952,952,
611,957,952,952,
612,957,952,952,
613,957,952,952,
614,957,952,952,
615,956,950,952,
616,956,950,952,
617,956,952,952,
618,956,952,952,
619,956,951,952,
620,956,951,952,
621,956,950,952,
622,956,950,952,
623,956,951,952,
624,956,951,952,
