step,x_center,y_center,width,height,conf,label,time
0,34.14881896972656,89.80780029296875,57.610504150390625,23.808639526367188,0.969802975654602,Red Block,0.12400364875793457
0,127.53376007080078,69.06458282470703,65.07096862792969,61.87770462036133,0.9673009514808655,Black Block,0.12400364875793457
0,80.1640625,91.35982513427734,35.73349380493164,37.96656799316406,0.9552752375602722,Black Ball,0.12400364875793457
0,39.027488708496094,50.482391357421875,66.41580200195312,27.079387664794922,0.2534790635108948,Blue Block,0.12400364875793457
1,34.14881896972656,89.80780029296875,57.610504150390625,23.808639526367188,0.969802975654602,Red Block,0.06505060195922852
1,127.53376007080078,69.06458282470703,65.07096862792969,61.87770462036133,0.9673009514808655,Black Block,0.06505060195922852
1,80.1640625,91.35982513427734,35.73349380493164,37.96656799316406,0.9552752375602722,Black Ball,0.06505060195922852
1,39.027488708496094,50.482391357421875,66.41580200195312,27.079387664794922,0.2534790635108948,Blue Block,0.06505060195922852
2,34.09037780761719,89.86565399169922,57.38041687011719,23.802200317382812,0.9706262350082397,Red Block,0.06566333770751953
2,127.44485473632812,69.03153991699219,65.50133514404297,61.75846862792969,0.9676616191864014,Black Block,0.06566333770751953
2,80.2478256225586,91.40482330322266,35.69813537597656,38.149566650390625,0.951503336429596,Black Ball,0.06566333770751953
2,38.945003509521484,49.82672882080078,66.2996597290039,26.342330932617188,0.2911006212234497,Blue Block,0.06566333770751953
3,34.09037780761719,89.86565399169922,57.38041687011719,23.802200317382812,0.9706262350082397,Red Block,0.06242990493774414
3,127.44485473632812,69.03153991699219,65.50133514404297,61.75846862792969,0.9676616191864014,Black Block,0.06242990493774414
3,80.2478256225586,91.40482330322266,35.69813537597656,38.149566650390625,0.951503336429596,Black Ball,0.06242990493774414
3,38.945003509521484,49.82672882080078,66.2996597290039,26.342330932617188,0.2911006212234497,Blue Block,0.06242990493774414
4,34.14641189575195,89.89982604980469,58.27483367919922,23.84259033203125,0.9691859483718872,Red Block,0.08636307716369629
4,127.48344421386719,69.01329803466797,65.35427856445312,61.57130432128906,0.9685131311416626,Black Block,0.08636307716369629
4,80.23578643798828,91.47195434570312,35.500213623046875,38.14930725097656,0.9485679268836975,Black Ball,0.08636307716369629
5,34.14641189575195,89.89982604980469,58.27483367919922,23.84259033203125,0.9691859483718872,Red Block,0.07082509994506836
5,127.48344421386719,69.01329803466797,65.35427856445312,61.57130432128906,0.9685131311416626,Black Block,0.07082509994506836
5,80.23578643798828,91.47195434570312,35.500213623046875,38.14930725097656,0.9485679268836975,Black Ball,0.07082509994506836
6,127.1238021850586,68.95881652832031,65.25498962402344,61.94578552246094,0.9693017601966858,Black Block,0.06255292892456055
6,80.4151382446289,91.04047393798828,36.02528381347656,38.08770751953125,0.953758180141449,Black Ball,0.06255292892456055
6,34.380584716796875,90.16609954833984,56.95341491699219,23.8282470703125,0.9438672661781311,Red Block,0.06255292892456055
7,127.1238021850586,68.95881652832031,65.25498962402344,61.94578552246094,0.9693017601966858,Black Block,0.0517730712890625
7,80.4151382446289,91.04047393798828,36.02528381347656,38.08770751953125,0.953758180141449,Black Ball,0.0517730712890625
7,34.380584716796875,90.16609954833984,56.95341491699219,23.8282470703125,0.9438672661781311,Red Block,0.0517730712890625
8,34.1342658996582,89.90315246582031,57.70985412597656,23.771743774414062,0.9712268114089966,Red Block,0.0541839599609375
8,127.46017456054688,69.003662109375,65.44739532470703,61.73150634765625,0.9679487347602844,Black Block,0.0541839599609375
8,80.12408447265625,91.40082550048828,35.71885681152344,38.002532958984375,0.9527619481086731,Black Ball,0.0541839599609375
9,34.1342658996582,89.90315246582031,57.70985412597656,23.771743774414062,0.9712268114089966,Red Block,0.061604976654052734
9,127.46017456054688,69.003662109375,65.44739532470703,61.73150634765625,0.9679487347602844,Black Block,0.061604976654052734
9,80.12408447265625,91.40082550048828,35.71885681152344,38.002532958984375,0.9527619481086731,Black Ball,0.061604976654052734
10,34.20609664916992,89.87590026855469,57.43865966796875,23.752593994140625,0.9716431498527527,Red Block,0.05816364288330078
10,127.42744445800781,69.0406265258789,65.51812744140625,61.7503662109375,0.9672999978065491,Black Block,0.05816364288330078
10,80.49072265625,91.15182495117188,36.17509460449219,38.15019226074219,0.9555453062057495,Black Ball,0.05816364288330078
11,34.20609664916992,89.87590026855469,57.43865966796875,23.752593994140625,0.9716431498527527,Red Block,0.05390667915344238
11,127.42744445800781,69.0406265258789,65.51812744140625,61.7503662109375,0.9672999978065491,Black Block,0.05390667915344238
11,80.49072265625,91.15182495117188,36.17509460449219,38.15019226074219,0.9555453062057495,Black Ball,0.05390667915344238
12,33.94457244873047,89.85737609863281,57.33722686767578,23.776443481445312,0.9702997207641602,Red Block,0.06165599822998047
12,127.44239044189453,69.05703735351562,65.20207214355469,61.8275146484375,0.9671787619590759,Black Block,0.06165599822998047
12,80.24871063232422,91.40939331054688,35.65647888183594,38.1165771484375,0.9519820213317871,Black Ball,0.06165599822998047
13,33.94457244873047,89.85737609863281,57.33722686767578,23.776443481445312,0.9702997207641602,Red Block,0.06213188171386719
13,127.44239044189453,69.05703735351562,65.20207214355469,61.8275146484375,0.9671787619590759,Black Block,0.06213188171386719
13,80.24871063232422,91.40939331054688,35.65647888183594,38.1165771484375,0.9519820213317871,Black Ball,0.06213188171386719
14,34.405662536621094,89.8337631225586,57.75813293457031,23.681289672851562,0.9709632396697998,Red Block,0.08586454391479492
14,127.1281967163086,69.08089447021484,65.23622131347656,61.8118896484375,0.9680872559547424,Black Block,0.08586454391479492
14,80.17655181884766,91.39961242675781,35.896697998046875,37.94682312011719,0.9558749198913574,Black Ball,0.08586454391479492
15,34.405662536621094,89.8337631225586,57.75813293457031,23.681289672851562,0.9709632396697998,Red Block,0.06371164321899414
15,127.1281967163086,69.08089447021484,65.23622131347656,61.8118896484375,0.9680872559547424,Black Block,0.06371164321899414
15,80.17655181884766,91.39961242675781,35.896697998046875,37.94682312011719,0.9558749198913574,Black Ball,0.06371164321899414
16,127.56640625,69.10830688476562,64.95611572265625,61.85438537597656,0.9679623246192932,Black Block,0.06337833404541016
16,34.20668029785156,89.8604736328125,58.3306884765625,23.7845458984375,0.9616140127182007,Red Block,0.06337833404541016
16,80.28510284423828,91.39210510253906,35.86564636230469,37.951995849609375,0.9530807137489319,Black Ball,0.06337833404541016
17,127.56640625,69.10830688476562,64.95611572265625,61.85438537597656,0.9679623246192932,Black Block,0.05844688415527344
17,34.20668029785156,89.8604736328125,58.3306884765625,23.7845458984375,0.9616140127182007,Red Block,0.05844688415527344
17,80.28510284423828,91.39210510253906,35.86564636230469,37.951995849609375,0.9530807137489319,Black Ball,0.05844688415527344
18,34.05070495605469,89.87751007080078,57.633544921875,23.777877807617188,0.9706849455833435,Red Block,0.05590248107910156
18,127.46806335449219,69.065185546875,65.14926147460938,61.8505859375,0.9673513770103455,Black Block,0.05590248107910156
18,80.28008270263672,91.49281311035156,35.27433395385742,38.08009338378906,0.9476944804191589,Black Ball,0.05590248107910156
18,38.89250946044922,49.60869598388672,66.24934387207031,25.952743530273438,0.26252689957618713,Blue Block,0.05590248107910156
19,34.05070495605469,89.87751007080078,57.633544921875,23.777877807617188,0.9706849455833435,Red Block,0.0664219856262207
19,127.46806335449219,69.065185546875,65.14926147460938,61.8505859375,0.9673513770103455,Black Block,0.0664219856262207
19,80.28008270263672,91.49281311035156,35.27433395385742,38.08009338378906,0.9476944804191589,Black Ball,0.0664219856262207
19,38.89250946044922,49.60869598388672,66.24934387207031,25.952743530273438,0.26252689957618713,Blue Block,0.0664219856262207
20,127.49404907226562,69.08364868164062,65.37704467773438,61.63071060180664,0.9672690629959106,Black Block,0.04917120933532715
20,33.87329864501953,89.85928344726562,57.32225036621094,23.743667602539062,0.9671726822853088,Red Block,0.04917120933532715
20,80.25218963623047,91.56035614013672,35.759429931640625,38.12701416015625,0.9523413777351379,Black Ball,0.04917120933532715
21,127.49404907226562,69.08364868164062,65.37704467773438,61.63071060180664,0.9672690629959106,Black Block,0.06771063804626465
21,33.87329864501953,89.85928344726562,57.32225036621094,23.743667602539062,0.9671726822853088,Red Block,0.06771063804626465
21,80.25218963623047,91.56035614013672,35.759429931640625,38.12701416015625,0.9523413777351379,Black Ball,0.06771063804626465
22,34.09994125366211,89.8727798461914,57.806907653808594,23.753616333007812,0.9680571556091309,Red Block,0.05820751190185547
22,127.44921112060547,69.0166015625,65.43598937988281,61.63845443725586,0.9674068093299866,Black Block,0.05820751190185547
22,80.23538208007812,91.45723724365234,35.48101806640625,37.809967041015625,0.9530248641967773,Black Ball,0.05820751190185547
23,34.09994125366211,89.8727798461914,57.806907653808594,23.753616333007812,0.9680571556091309,Red Block,0.056456565856933594
23,127.44921112060547,69.0166015625,65.43598937988281,61.63845443725586,0.9674068093299866,Black Block,0.056456565856933594
23,80.23538208007812,91.45723724365234,35.48101806640625,37.809967041015625,0.9530248641967773,Black Ball,0.056456565856933594
24,34.37089157104492,89.84111785888672,58.05181884765625,23.8590087890625,0.9690249562263489,Red Block,0.0890512466430664
24,127.45500946044922,69.00982666015625,65.41273498535156,61.631988525390625,0.9678840637207031,Black Block,0.0890512466430664
24,80.31641387939453,91.55131530761719,35.36232376098633,38.039398193359375,0.948735237121582,Black Ball,0.0890512466430664
25,34.37089157104492,89.84111785888672,58.05181884765625,23.8590087890625,0.9690249562263489,Red Block,0.07886385917663574
25,127.45500946044922,69.00982666015625,65.41273498535156,61.631988525390625,0.9678840637207031,Black Block,0.07886385917663574
25,80.31641387939453,91.55131530761719,35.36232376098633,38.039398193359375,0.948735237121582,Black Ball,0.07886385917663574
26,34.32804489135742,89.8097152709961,58.076515197753906,23.915435791015625,0.9697168469429016,Red Block,0.06844186782836914
26,127.46900177001953,69.03528594970703,65.38929748535156,61.849395751953125,0.9676570296287537,Black Block,0.06844186782836914
26,80.19103240966797,91.44218444824219,35.576751708984375,38.19624328613281,0.9536375999450684,Black Ball,0.06844186782836914
26,39.007232666015625,50.46175765991211,66.47561645507812,26.999839782714844,0.2964387834072113,Blue Block,0.06844186782836914
27,34.32804489135742,89.8097152709961,58.076515197753906,23.915435791015625,0.9697168469429016,Red Block,0.08278560638427734
27,127.46900177001953,69.03528594970703,65.38929748535156,61.849395751953125,0.9676570296287537,Black Block,0.08278560638427734
27,80.19103240966797,91.44218444824219,35.576751708984375,38.19624328613281,0.9536375999450684,Black Ball,0.08278560638427734
27,39.007232666015625,50.46175765991211,66.47561645507812,26.999839782714844,0.2964387834072113,Blue Block,0.08278560638427734
28,34.14228820800781,89.86000061035156,57.401763916015625,23.812149047851562,0.9713438153266907,Red Block,0.07069206237792969
28,127.48841857910156,68.98198699951172,65.33187866210938,61.77937316894531,0.9679579734802246,Black Block,0.07069206237792969
28,80.2306137084961,91.5726547241211,35.273284912109375,38.346588134765625,0.944561243057251,Black Ball,0.07069206237792969
29,34.14228820800781,89.86000061035156,57.401763916015625,23.812149047851562,0.9713438153266907,Red Block,0.07233691215515137
29,127.48841857910156,68.98198699951172,65.33187866210938,61.77937316894531,0.9679579734802246,Black Block,0.07233691215515137
29,80.2306137084961,91.5726547241211,35.273284912109375,38.346588134765625,0.944561243057251,Black Ball,0.07233691215515137
30,34.24226379394531,89.79820251464844,57.65556335449219,23.715225219726562,0.9701613783836365,Red Block,0.06595158576965332
30,127.1680679321289,68.96259307861328,65.21253967285156,61.74980163574219,0.9679368138313293,Black Block,0.06595158576965332
30,80.14738464355469,91.45265197753906,35.749481201171875,37.93939208984375,0.9554827809333801,Black Ball,0.06595158576965332
31,34.24226379394531,89.79820251464844,57.65556335449219,23.715225219726562,0.9701613783836365,Red Block,0.060144901275634766
