step,K,T_I,T_D,target,error,P,I,D,ds,left speed,right speed
0,0.005,9999999999,0,200,-200.0,-1.0,-6.4000000006400005e-12,-0.0,-0.9500000000064
1,0.005,9999999999,0,200,-200.0,-1.0,-1.2800000001280001e-11,0.0,-0.9500000000127999
2,0.005,9999999999,0,200,-200.0,-1.0,-1.920000000192e-11,0.0,-0.9500000000191999
3,0.005,9999999999,0,200,-200.0,-1.0,-2.5600000002560002e-11,0.0,-0.9500000000255999
4,0.005,9999999999,0,200,-200.0,-1.0,-3.20000000032e-11,0.0,-0.9500000000319999
5,0.005,9999999999,0,200,-200.0,-1.0,-3.8400000003839997e-11,0.0,-0.9500000000383999
6,0.005,9999999999,0,200,-200.0,-1.0,-4.480000000448e-11,0.0,-0.9500000000447999
7,0.005,9999999999,0,200,-200.0,-1.0,-5.120000000512e-11,0.0,-0.9500000000511999
8,0.005,9999999999,0,200,-200.0,-1.0,-5.760000000576e-11,0.0,-0.9500000000575999
9,0.005,9999999999,0,200,-200.0,-1.0,-6.400000000639999e-11,0.0,-0.9500000000639999
10,0.005,9999999999,0,200,-200.0,-1.0,-7.040000000703999e-11,0.0,-0.9500000000703999
11,0.005,9999999999,0,200,-200.0,-1.0,-7.680000000767999e-11,0.0,-0.9500000000767999
12,0.005,9999999999,0,200,-196.90514285714286,-0.9845257142857143,-8.310096457973866e-11,0.0,-0.9345257143688153
13,0.005,9999999999,0,200,-196.32457142857143,-0.9816228571428571,-8.938335086608117e-11,0.0,-0.9316228572322405
14,0.005,9999999999,0,200,-196.32457142857143,-0.9816228571428571,-9.56657371524237e-11,0.0,-0.9316228572385228
15,0.005,9999999999,0,200,-196.32457142857143,-0.9816228571428571,-1.0194812343876622e-10,0.0,-0.9316228572448052
16,0.005,9999999999,0,200,-196.32457142857143,-0.9816228571428571,-1.0823050972510875e-10,0.0,-0.9316228572510876
17,0.005,9999999999,0,200,-196.32457142857143,-0.9816228571428571,-1.1451289601145126e-10,0.0,-0.9316228572573699
18,0.005,9999999999,0,200,-196.32457142857143,-0.9816228571428571,-1.207952822977938e-10,0.0,-0.9316228572636523
19,0.005,9999999999,0,200,-196.32457142857143,-0.9816228571428571,-1.270776685841363e-10,0.0,-0.9316228572699348
20,0.005,9999999999,0,200,-196.32457142857143,-0.9816228571428571,-1.3336005487047882e-10,0.0,-0.9316228572762172
21,0.005,9999999999,0,200,-196.32457142857143,-0.9816228571428571,-1.3964244115682135e-10,0.0,-0.9316228572824995
22,0.005,9999999999,0,200,-199.30514285714287,-0.9965257142857143,-1.460202057288877e-10,-0.0,-0.9465257144317345
23,0.005,9999999999,0,200,-199.6,-0.998,-1.5240740572952645e-10,-0.0,-0.9480000001524074
24,0.005,9999999999,0,200,-198.85714285714286,-0.9942857142857143,-1.5877083430159136e-10,0.0,-0.9442857144444852
25,0.005,9999999999,0,200,-197.57142857142858,-0.987857142857143,-1.6509312001650932e-10,0.0,-0.9378571430222361
26,0.005,9999999999,0,200,-195.22857142857143,-0.9761428571428572,-1.7134043430284833e-10,0.0,-0.9261428573141975
27,0.005,9999999999,0,200,-191.74285714285713,-0.9587142857142856,-1.7747620573203333e-10,0.0,-0.9087142858917618
28,0.005,9999999999,0,200,-187.1142857142857,-0.9355714285714285,-1.834638628754892e-10,0.0,-0.8855714287548924
29,0.005,9999999999,0,200,-181.248,-0.9062399999999999,-1.8926379887606922e-10,0.0,-0.8562400001892637
30,0.005,9999999999,0,200,-173.55314285714286,-0.8677657142857144,-1.9481749944805317e-10,0.0,-0.8177657144805318
31,0.005,9999999999,0,200,-164.60114285714286,-0.8230057142857143,-2.0008473602000845e-10,0.0,-0.773005714485799
32,0.005,9999999999,0,200,-155.07771428571428,-0.7753885714285714,-2.050472228776476e-10,0.0,-0.7253885716336186
33,0.005,9999999999,0,200,-144.81142857142856,-0.7240571428571428,-2.096811885923967e-10,0.0,-0.674057143066824
34,0.005,9999999999,0,200,-133.5165714285714,-0.667582857142857,-2.1395371887853825e-10,0.0,-0.6175828573568107
35,0.005,9999999999,0,200,-122.60742857142857,-0.6130371428571428,-2.178771565932163e-10,0.0,-0.56303714307502
36,0.005,9999999999,0,200,-112.784,-0.5639200000000001,-2.2148624459357721e-10,0.0,-0.5139200002214863
37,0.005,9999999999,0,200,-102.71771428571428,-0.5135885714285714,-2.2477321145104878e-10,0.0,-0.4635885716533446
38,0.005,9999999999,0,200,-92.58,-0.4629,-2.2773577145134503e-10,0.0,-0.41290000022773576
39,0.005,9999999999,0,200,-81.5657142857143,-0.4078285714285715,-2.3034587430874888e-10,0.0,-0.35782857165891735
40,0.005,9999999999,0,200,-69.69428571428571,-0.34847142857142854,-2.3257609145182904e-10,0.0,-0.2984714288040046
41,0.005,9999999999,0,200,-54.92285714285717,-0.27461428571428587,-2.3433362288057625e-10,0.0,-0.22461428594861949
42,0.005,9999999999,0,200,-35.62285714285713,-0.17811428571428564,-2.3547355430926167e-10,0.0,-0.1281142859497592
43,0.005,9999999999,0,200,-8.079999999999984,-0.04039999999999992,-2.357321143092875e-10,0.0,0.009599999764267966
44,0.005,9999999999,0,200,26.462857142857132,0.13231428571428566,-2.348853028806314e-10,0.0,0.18231428547940037
45,0.005,9999999999,0,200,68.67714285714283,0.3433857142857141,-2.3268763430898302e-10,0.0,0.39338571405302647
46,0.005,9999999999,0,200,117.16285714285715,0.5858142857142857,-2.289384228800367e-10,0.0,0.6358142854853474
47,0.005,9999999999,0,200,169.32,0.8466,-2.2352018287949486e-10,0.0,0.8965999997764799
48,0.005,9999999999,0,200,222.36285714285714,1.1118142857142856,-2.1640457145021185e-10,0.0,1.161814285497881
