step,gs0,gs1,gs2,
353,956,950,951,
354,956,950,951,
355,956,950,951,
356,956,950,951,
357,956,950,951,
358,956,950,951,
359,956,950,951,
360,956,950,951,
361,956,950,951,
362,956,950,950,
363,956,950,950,
364,956,950,950,
365,956,950,950,
366,956,950,950,
367,956,950,950,
368,955,949,949,
369,955,949,949,
370,955,949,950,
371,955,949,950,
372,954,949,950,
373,954,949,950,
374,955,949,950,
375,955,949,950,
376,955,949,949,
377,955,949,949,
378,955,949,949,
379,955,949,949,
380,955,949,949,
381,955,949,949,
382,954,949,949,
383,954,949,949,
384,953,948,950,
385,956,950,949,
386,956,950,949,
387,955,949,949,
388,955,949,949,
389,954,950,950,
390,954,950,950,
391,955,950,949,
392,955,950,949,
393,956,950,950,
394,956,950,950,
395,956,950,949,
396,956,950,949,
397,955,950,949,
398,955,950,949,
399,955,950,949,
400,955,950,949,
401,956,950,950,
402,956,950,950,
403,955,950,949,
404,955,950,949,
405,956,950,950,
406,956,950,950,
407,956,950,951,
408,956,950,951,
409,956,950,950,
410,956,950,950,
411,955,950,949,
412,955,950,949,
413,956,950,950,
414,956,950,950,
415,955,950,950,
416,955,950,950,
417,956,950,950,
418,956,950,950,
419,954,949,948,
420,954,949,948,
421,953,949,948,
422,954,949,947,
423,954,949,947,
424,954,949,949,
425,954,949,949,
426,954,950,950,
427,954,950,950,
428,955,950,950,
429,955,950,950,
430,956,950,950,
431,956,950,950,
432,955,949,950,
433,955,949,950,
434,955,949,950,
435,955,949,950,
436,952,947,948,
437,952,947,948,
438,953,947,948,
439,953,947,948,
440,954,950,950,
441,954,950,950,
442,955,950,951,
443,955,950,951,
444,954,950,950,
445,954,950,950,
446,954,950,950,
447,954,950,950,
448,953,950,951,
449,953,950,951,
450,953,950,951,
451,953,950,951,
452,953,950,951,
453,953,950,951,
454,953,949,949,
455,953,949,949,
456,953,950,951,
457,953,950,951,
458,952,948,949,
459,952,948,949,
460,955,950,952,
461,955,950,952,
462,953,949,952,
463,953,949,952,
464,953,949,951,
465,953,949,951,
466,953,950,951,
467,953,950,951,
468,955,950,952,
469,955,950,952,
470,955,950,951,
471,955,950,951,
472,955,950,951,
473,955,950,951,
474,955,950,952,
475,955,950,951,
476,955,950,951,
477,953,950,951,
478,953,950,951,
479,953,950,952,
480,953,950,952,
481,954,950,950,
482,954,950,950,
483,952,943,943,
484,952,943,943,
485,863,900,879,
486,863,900,879,
487,604,526,594,
488,604,526,594,
489,472,431,572,
490,472,431,572,
491,488,428,540,
492,488,428,540,
493,477,431,573,
494,477,431,573,
495,466,416,556,
496,466,416,556,
497,473,435,567,
498,473,435,567,
499,466,422,561,
500,466,422,561,
501,483,423,555,
502,483,423,555,
503,478,425,545,
504,478,425,545,
505,462,412,559,
506,462,412,559,
507,476,437,559,
508,476,437,559,
509,476,426,553,
510,476,426,553,
511,477,419,545,
512,479,423,556,
513,479,423,556,
514,471,437,557,
515,471,437,557,
516,475,427,566,
517,475,427,566,
518,580,551,754,
519,580,551,754,
520,940,925,935,
521,940,925,935,
522,950,945,949,
523,950,945,949,
524,953,950,952,
525,953,950,952,
526,953,950,951,
527,953,950,951,
528,954,949,951,
529,954,949,951,
530,953,950,950,
531,953,950,950,
532,954,950,950,
533,954,950,950,
534,953,949,950,
535,953,949,950,
536,953,949,950,
537,953,949,950,
538,953,949,950,
539,953,949,950,
540,953,949,949,
541,953,949,949,
542,953,948,949,
543,953,948,949,
544,953,949,949,
545,953,949,949,
546,953,949,949,
547,953,949,949,
548,953,949,949,
549,953,949,949,
550,954,949,949,
551,954,949,949,
552,953,949,949,
553,953,949,949,
554,953,948,950,
555,953,948,950,
556,953,949,949,
557,953,949,949,
558,953,949,949,
559,953,949,949,
560,953,948,948,
561,953,948,948,
562,953,949,947,
563,953,949,947,
564,954,949,949,
565,954,949,949,
566,954,948,948,
