step,tof,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7
97,299,0.0,0.0,0.0,0.0,0,0,12.22,7.54,
98,299,0.0,0.0,0.0,0.0,0,0,3.2200000000000006,0,
99,299,0.0,0.0,0.0,0.0,0,0,16.22,0,
100,299,0.0,0.0,0.0,0.0,0,0,17.22,0,
101,299,0.0,0.0,0.0,0.0,0,0,13.22,0,
102,298,0.0,0.0,0.0,0.0,0,42.14,10.22,0,
103,298,0.0,0.0,0.0,0.0,0,0,16.22,0,
104,298,0.0,0.0,0.0,0.0,0,0,15.22,0,
105,298,0.0,0.0,0.0,0.0,0,0,10.22,0,
106,295,0.0,0.0,0.0,0.0,0,0,16.22,0,
107,295,0.0,0.0,0.0,0.0,0,0,14.22,0,
108,295,0.0,0.0,0.0,0.0,0,0,14.22,0,
109,295,0.0,0.0,0.0,0.0,0,0,12.22,0,
110,295,0.0,0.0,0.0,0.0,0,1.1400000000000006,4.220000000000001,0,
111,297,0.0,0.0,0.0,0.0,0,0,10.22,0,
112,297,0.0,0.0,0.0,0.0,0,0,11.22,0,
113,297,0.0,0.0,0.0,0.0,0,29.14,12.22,0,
114,297,0.0,0.0,0.0,0.0,0,0,0.22000000000000064,0,
115,297,0.0,0.0,0.0,0.0,0,0,19.22,0,
116,304,0.0,0.0,0.0,0.0,0,0,16.22,0,
117,304,0.0,0.0,0.0,0.0,0,0,16.22,0,
118,304,0.0,0.0,0.0,0.0,0,17.14,16.22,0,
119,304,0.0,0.0,0.0,0.0,0,0,17.22,0,
120,304,0.0,0.0,0.0,0.0,0,0,15.22,0,
121,294,0.0,0.0,0.0,0.0,0,0,10.22,0,
122,294,0.0,0.0,0.0,0.0,0,0,9.22,0,
123,294,0.0,0.0,0.0,0.0,0,0,18.22,4.54,
124,294,0.0,0.0,0.0,0.0,0,0,20.22,0,
125,294,0.0,0.0,0.0,0.0,0,16.14,7.220000000000001,0,
126,287,0.0,0.0,0.0,0.0,0,0,11.22,0,
127,287,0.0,0.0,0.0,0.0,0,0,11.22,0,
128,287,0.0,0.0,0.0,0.0,0,0,16.22,0,
129,287,0.0,0.0,0.0,0.0,0,16.14,28.22,0,
